Created date,Case Type,Subtype,Reason,Customer reply count,Source,Ticket ID,Agent name,Subject
2020-09-08 3:14:50 PM,Shipping / Delivery,Shipping Details,Tracking Information,0,chat,10363,A. W. ,Thank you for reaching out!
2020-09-08 3:15:37 PM,Sales,Delivery Info,Delivery Expectations,0,chat,10364,A. W. ,Thank you for reaching out!
2020-09-08 3:26:53 PM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,2,email,10365,L. R.,Re:
2020-09-08 3:27:49 PM,Account / Billing,Promotions / Discounts,Military,0,chat,10366,A. W. ,Thank you for reaching out!
2020-09-08 3:31:23 PM,Sales,Delivery Info,Delivery Expectations,0,chat,10367,A. W. ,Thank you for reaching out!
2020-09-08 3:33:32 PM,General Inquiry,Product Specs,General Specs,0,chat,10368,D. W.,Music options
2020-09-08 3:33:48 PM,Sales,Delivery Info,Delivery Expectations,0,chat,10369,A. W. ,Thank you for reaching out!
2020-09-08 3:41:01 PM,General Inquiry,Accessories,Weights,0,chat,10370,M. V.,Tempo Support
2020-09-08 3:41:53 PM,Sales,Delivery Info,Delivery Expectations,0,chat,10371,A. W. ,Thank you for reaching out!
2020-09-08 3:42:53 PM,Sales,Delivery Info,International Delivery,0,chat,10372,A. W. ,Thank you for reaching out!
2020-09-08 3:54:36 PM,General Inquiry,Mobile App,Features,0,chat,10373,A. W. ,Thank you for reaching out!
2020-09-08 4:00:11 PM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,1,email,10376,L. R.,Re: Your receipt from Tempo
2020-09-08 4:02:28 PM,Shipping / Delivery,Change Request,Address Change,0,email,10377,,Re: Update on your order
2020-09-08 4:02:31 PM,Cancellations / Returns,Cancel Request,Canceled: Taking Too Long,0,email,10378,L. R.,Re: Your receipt from Tempo
2020-09-08 4:02:38 PM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,0,email,10379,L. R.,Fwd: Your receipt from Tempo
2020-09-08 4:07:18 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10380,A. S. ,Conversation with User
2020-09-08 4:08:04 PM,Sales,Purchasing Info,Affirm Financing,0,chat,10381,A. W. ,Thank you for reaching out!
2020-09-08 4:10:15 PM,General Inquiry,Accessories,Weights,2,email,10382,A. W. ,Extra Plates and Barbell Diameter
2020-09-08 4:11:20 PM,Cancellations / Returns,Cancel Request,Canceled: Refused to State,0,chat,10383,N. D.,Conversation with User
2020-09-08 4:22:47 PM,Shipping / Delivery,Delivery Issues,Late Delivery,0,email,10384,A. W. ,Re: Update on your order
2020-09-08 4:38:26 PM,Shipping / Delivery,Delivery Issues,Late Delivery,0,email,10385,D. W.,Re: Update on your order
2020-09-08 4:53:52 PM,Shipping / Delivery,Shipping Details,Delivery Overview,0,email,10386,A. S. ,Re: Update on your order
2020-09-08 4:56:19 PM,Sales,Promotions / Discounts,First Responder,0,chat,10387,A. W. ,Thank you for reaching out!
2020-09-08 4:57:32 PM,Technical Issues,Sound,White noise,0,chat,10388,M. V.,Tempo Support - Audio Clicking
2020-09-08 5:01:03 PM,Technical Issues,Sound,White noise,5,email,10389,J. M.,Noise ok tempo fit
2020-09-08 5:01:57 PM,Fitness / Content,Class Requests,Other Classes,0,chat,10390,D. W.,Content Question
2020-09-08 5:18:36 PM,Shipping / Delivery,Delivery Issues,Late Delivery,0,email,10391,N. D.,Re: Update on your order
2020-09-08 5:35:36 PM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,10392,A. W. ,My order
2020-09-08 5:44:59 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,10393,A. W. ,
2020-09-08 5:56:25 PM,Technical Issues,Network,JavaScript Error,8,phone,10394,J. M.,Stuck On Update Screen
2020-09-08 5:57:52 PM,Shipping / Delivery,Delivery Issues,Missed Delivery,1,email,10395,A. W. ,Tempo Delivery
2020-09-08 6:02:27 PM,Fitness / Content,Health / Safety,Disabilities,2,email,10396,M. V.,question about exercise detection
2020-09-08 6:45:17 PM,Cancellations / Returns,Cancel Request,Canceled: Taking Too Long,1,email,10398,L. R.,Re: Update on your order
2020-09-08 6:48:49 PM,Sales,Delivery Info,Delivery Expectations,0,email,10399,A. W. ,Lead time
